profile_id,model,rank,resource_id,title,provider,score,explanation
P001,content_based,1,R026,IBM Data Analyst Capstone,Coursera,0.5037,"Recommended because its metadata matches learner needs around data_visualisation, excel, python, sql."
P001,content_based,2,R033,Data Cleaning in SQL and Python,University Open Course,0.4039,"Recommended because its metadata matches learner needs around data_cleaning, python, sql."
P001,content_based,3,R025,Google Data Analytics Foundations,Coursera,0.3839,"Recommended because its metadata matches learner needs around data_cleaning, data_visualisation, excel, sql."
P001,content_based,4,R002,Intermediate SQL Queries,DataCamp,0.3534,"Recommended because its metadata matches learner needs around data_cleaning, sql."
P001,content_based,5,R017,Python for Data Visualisation,DataCamp,0.3529,"Recommended because its metadata matches learner needs around data_visualisation, python."
P002,content_based,1,R039,MLOps Fundamentals,DataCamp,0.4024,"Recommended because its metadata matches learner needs around deployment, machine_learning, model_evaluation, python."
P002,content_based,2,R038,Machine Learning Pipelines,Coursera,0.4007,"Recommended because its metadata matches learner needs around deployment, machine_learning, model_evaluation, python."
P002,content_based,3,R069,DataCamp Module ML API Deployment,DataCamp,0.38,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning, python."
P002,content_based,4,R011,Deploying Machine Learning APIs,Udemy,0.3779,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning, python."
P002,content_based,5,R040,Docker for Machine Learning,YouTube,0.3617,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning."
P003,content_based,1,R056,Software Engineering Principles,edX,0.4055,"Recommended because its metadata matches learner needs around oop, programming, testing, version_control."
P003,content_based,2,R046,Python Software Development,DataCamp,0.378,"Recommended because its metadata matches learner needs around oop, programming, testing."
P003,content_based,3,R051,API Testing with Postman,Udemy,0.3643,"Recommended because its metadata matches learner needs around apis, testing."
P003,content_based,4,R016,Software Testing Fundamentals,Udacity,0.3463,"Recommended because its metadata matches learner needs around programming, testing."
P003,content_based,5,R057,Build a REST API Project,YouTube,0.3405,"Recommended because its metadata matches learner needs around apis, databases, programming, testing."
P004,content_based,1,R026,IBM Data Analyst Capstone,Coursera,0.5313,"Recommended because its metadata matches learner needs around dashboards, data_visualisation, excel, python, sql."
P004,content_based,2,R033,Data Cleaning in SQL and Python,University Open Course,0.4254,"Recommended because its metadata matches learner needs around data_cleaning, python, sql."
P004,content_based,3,R017,Python for Data Visualisation,DataCamp,0.4172,"Recommended because its metadata matches learner needs around dashboards, data_visualisation, python."
P004,content_based,4,R003,Excel Skills for Business,Coursera,0.375,"Recommended because its metadata matches learner needs around dashboards, data_cleaning, excel."
P004,content_based,5,R025,Google Data Analytics Foundations,Coursera,0.3371,"Recommended because its metadata matches learner needs around data_cleaning, data_visualisation, excel, sql."
P005,content_based,1,R039,MLOps Fundamentals,DataCamp,0.3984,"Recommended because its metadata matches learner needs around deployment, machine_learning, model_evaluation, python, version_control."
P005,content_based,2,R069,DataCamp Module ML API Deployment,DataCamp,0.3933,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning, python."
P005,content_based,3,R011,Deploying Machine Learning APIs,Udemy,0.3902,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning, python."
P005,content_based,4,R038,Machine Learning Pipelines,Coursera,0.3861,"Recommended because its metadata matches learner needs around deployment, machine_learning, model_evaluation, python."
P005,content_based,5,R040,Docker for Machine Learning,YouTube,0.3705,"Recommended because its metadata matches learner needs around apis, deployment, machine_learning."
P006,content_based,1,R056,Software Engineering Principles,edX,0.4163,"Recommended because its metadata matches learner needs around oop, programming, testing, version_control."
P006,content_based,2,R046,Python Software Development,DataCamp,0.3572,"Recommended because its metadata matches learner needs around oop, programming, testing."
P006,content_based,3,R054,Object Oriented Design Patterns,Coursera,0.3169,"Recommended because its metadata matches learner needs around oop, programming, testing."
P006,content_based,4,R051,API Testing with Postman,Udemy,0.3079,"Recommended because its metadata matches learner needs around apis, testing."
P006,content_based,5,R016,Software Testing Fundamentals,Udacity,0.3075,"Recommended because its metadata matches learner needs around programming, testing."
P007,content_based,1,R026,IBM Data Analyst Capstone,Coursera,0.5047,"Recommended because its metadata matches learner needs around dashboards, data_visualisation, python, sql."
P007,content_based,2,R033,Data Cleaning in SQL and Python,University Open Course,0.3853,"Recommended because its metadata matches learner needs around data_cleaning, python, sql."
P007,content_based,3,R017,Python for Data Visualisation,DataCamp,0.3557,"Recommended because its metadata matches learner needs around dashboards, data_visualisation, python."
P007,content_based,4,R003,Excel Skills for Business,Coursera,0.3548,"Recommended because its metadata matches learner needs around dashboards, data_cleaning."
P007,content_based,5,R025,Google Data Analytics Foundations,Coursera,0.3153,"Recommended because its metadata matches learner needs around data_cleaning, data_visualisation, sql."
P008,content_based,1,R008,Applied Machine Learning in Python,Coursera,0.3863,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, python."
P008,content_based,2,R033,Data Cleaning in SQL and Python,University Open Course,0.3699,"Recommended because its metadata matches learner needs around data_cleaning, python, sql."
P008,content_based,3,R031,Business Statistics and A B Testing,edX,0.3643,"Recommended because its metadata matches learner needs around data_visualisation, statistics."
P008,content_based,4,R038,Machine Learning Pipelines,Coursera,0.3463,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, python."
P008,content_based,5,R037,Unsupervised Learning in Python,DataCamp,0.3432,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, python."
P009,content_based,1,R008,Applied Machine Learning in Python,Coursera,0.3481,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, python."
P009,content_based,2,R038,Machine Learning Pipelines,Coursera,0.3396,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, python."
P009,content_based,3,R033,Data Cleaning in SQL and Python,University Open Course,0.33,"Recommended because its metadata matches learner needs around data_cleaning, python, sql."
P009,content_based,4,R009,Machine Learning Model Evaluation,DataCamp,0.3261,"Recommended because its metadata matches learner needs around machine_learning, model_evaluation, statistics."
