resource_id,title,provider,topic,skills,difficulty_level,duration_hours,format,prerequisites,cost,popularity_score,quality_score,data_analyst_relevance,ml_engineer_relevance,software_developer_relevance,data_scientist_relevance,description
R001,SQL for Data Analysis,Coursera,sql,sql;data_cleaning,1,6,course,,paid,0.86,0.88,3,1,1,2,Beginner SQL course covering SELECT JOIN aggregation and analytical queries for data roles.
R002,Intermediate SQL Queries,DataCamp,sql,sql;databases;data_cleaning,2,5,course,sql,paid,0.78,0.84,3,1,2,2,Practice-focused SQL resource for joins subqueries window functions and database querying.
R003,Excel Skills for Business,Coursera,excel,excel;dashboards;data_cleaning,1,8,course,,paid,0.82,0.86,3,0,0,1,Spreadsheet skills for cleaning analysing and summarising business data.
R004,Data Visualisation with Tableau,edX,data_visualisation,data_visualisation;dashboards,1,5,course,,paid,0.74,0.82,3,0,0,2,Introductory dashboarding and data visualisation with Tableau.
R005,Python Basics for Everybody,freeCodeCamp,python,python;programming,1,7,tutorial,,free,0.92,0.83,2,2,2,3,Beginner programming tutorial introducing Python syntax functions and basic problem solving.
R006,Pandas Data Cleaning Tutorial,YouTube,data_cleaning,python;data_cleaning;data_visualisation,2,3,video,python,free,0.79,0.80,3,2,1,3,Hands-on walkthrough for cleaning tabular data with pandas and simple plots.
R007,Statistics for Data Analytics,Khan Academy,statistics,statistics,1,6,course,,free,0.76,0.81,3,2,1,3,Core descriptive statistics probability sampling and interpretation for analytics.
R008,Applied Machine Learning in Python,Coursera,machine_learning,python;machine_learning;model_evaluation,2,12,course,python;statistics,paid,0.88,0.89,1,3,0,3,Supervised learning workflows with model training validation and evaluation in Python.
R009,Machine Learning Model Evaluation,DataCamp,model_evaluation,machine_learning;model_evaluation;statistics,2,4,course,machine_learning,paid,0.71,0.84,1,3,1,3,Focused resource on validation metrics cross-validation and model selection.
R010,Deep Learning Fundamentals,edX,machine_learning,python;machine_learning,3,15,course,python;machine_learning,paid,0.69,0.82,0,3,0,3,Advanced introduction to neural networks and deep learning concepts.
R011,Deploying Machine Learning APIs,Udemy,deployment,python;deployment;apis;machine_learning,3,8,course,python;machine_learning;apis,paid,0.66,0.80,0,3,2,2,Build and deploy machine learning prediction services with REST APIs.
R012,Git and GitHub Crash Course,freeCodeCamp,version_control,version_control,1,2,video,,free,0.91,0.79,1,2,3,2,Practical version control workflow using Git commits branches and GitHub.
R013,Object-Oriented Programming in Java,Coursera,oop,programming;oop,2,10,course,programming,paid,0.73,0.84,0,1,3,0,Programming course covering classes inheritance encapsulation and object-oriented design.
R014,REST API Development with Flask,YouTube,apis,python;apis;deployment;programming,2,4,tutorial,python,free,0.77,0.78,0,2,3,1,Build REST endpoints and simple backend services using Flask.
R015,Database Design and SQL,edX,databases,sql;databases,2,9,course,sql,paid,0.72,0.85,2,1,3,2,Relational modelling normalisation database design and SQL implementation.
R016,Software Testing Fundamentals,Udacity,testing,testing;programming,1,5,course,programming,free,0.67,0.80,0,1,3,1,Testing concepts test cases unit tests and software quality practices.
R017,Python for Data Visualisation,DataCamp,data_visualisation,python;data_visualisation;dashboards,2,4,course,python,paid,0.75,0.83,3,2,0,2,Use Python libraries to create charts dashboards and exploratory data visualisations.
R018,Data Analyst Career Track,DataCamp,career_path,sql;python;statistics;data_visualisation;dashboards;data_cleaning,2,40,career_track,,paid,0.84,0.87,3,1,0,2,Structured data analyst pathway covering SQL Python statistics visualisation and projects.
R019,Machine Learning Engineer Career Track,DataCamp,career_path,python;machine_learning;model_evaluation;deployment;apis,3,45,career_track,python;statistics,paid,0.80,0.86,0,3,1,2,Structured pathway for ML engineering from modelling to deployment.
