profile_id,model,rank,resource_id,title,provider,score,explanation
P001,hybrid,1,R025,Google Data Analytics Foundations,Coursera,0.729,"Recommended because it targets skill gaps in data_visualisation, sql, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P001,hybrid,2,R028,Power BI Dashboard Basics,DataCamp,0.6806,"Recommended because it targets skill gaps in data_visualisation, dashboards, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P001,hybrid,3,R003,Excel Skills for Business,Coursera,0.6655,"Recommended because it targets skill gaps in dashboards, data_cleaning, excel; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P001,hybrid,4,R029,Exploratory Data Analysis in Python,Kaggle Learn,0.6582,"Recommended because it targets skill gaps in data_visualisation, statistics, data_cleaning; the learner appears to meet the prerequisites."
P001,hybrid,5,R001,SQL for Data Analysis,Coursera,0.6455,"Recommended because it targets skill gaps in sql, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P002,hybrid,1,R039,MLOps Fundamentals,DataCamp,0.6649,"Recommended because it targets skill gaps in model_evaluation, deployment, machine_learning; the learner appears to meet the prerequisites."
P002,hybrid,2,R043,Flask for Model Serving,Coursera,0.6619,"Recommended because it targets skill gaps in deployment, machine_learning, apis; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P002,hybrid,3,R023,Practical Feature Engineering,Kaggle Learn,0.6618,"Recommended because it targets skill gaps in model_evaluation, machine_learning, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P002,hybrid,4,R093,Mini Project Customer Churn Model,Kaggle Learn,0.6616,"Recommended because it targets skill gaps in model_evaluation, machine_learning, data_cleaning; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P002,hybrid,5,R044,Feature Selection and Validation,Kaggle Learn,0.6545,"Recommended because it targets skill gaps in model_evaluation, machine_learning, python; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P003,hybrid,1,R057,Build a REST API Project,YouTube,0.7135,"Recommended because it targets skill gaps in apis, testing, databases; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P003,hybrid,2,R056,Software Engineering Principles,edX,0.7108,"Recommended because it targets skill gaps in testing, oop, version_control; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
P003,hybrid,3,R073,freeCodeCamp Module Quality Assurance Testing,freeCodeCamp,0.6795,"Recommended because it targets skill gaps in apis, testing, programming; its difficulty matches the learner's current level; the learner appears to meet the prerequisites."
